word,synset
annexation,annexation.n.01
annotate,gloss.v.02
annotate,annotate.v.01
annotation,note.n.07
announce,announce.v.04
announce,announce.v.01
announce,announce.v.02
announced,announced.s.01
annoy,annoy.v.01
annoyance,irritation.n.01
annoyance,annoyance.n.04
annoyance,annoyance.n.05
annoyed,annoyed.s.01
annoyed,annoyed.s.02
annoying,annoyance.n.05
annoying,annoying.s.01
annual,annual.s.02
annual,annual.n.02
annually,annually.r.01
answer,solution.n.02
answer,answer.v.04
answer,suffice.v.01
answering,answering.s.01
antagonist,adversary.n.01
antenna,antenna.n.01
anterior,anterior.s.02
anthem,hymn.n.01
anticipate,anticipate.v.02
anticipate,anticipate.v.03
anticipate,predict.v.01
anticipate,expect.v.01
antique,antique.s.02
anyhow,anyhow.r.02
anyhow,anyhow.r.01
anyway,anyhow.r.01
anyway,anyhow.r.02
anyways,anyhow.r.01
apart,apart.r.02
apart,apart.s.01
apartment,apartment.n.01
apathy,apathy.n.02
ape,caricature.v.01
apex,vertex.n.02
apogee,apogee.n.01
apologize,apologize.v.02
appalled,aghast.s.01
apparatus,apparatus.n.01
apparent,apparent.s.01
apparent,apparent.s.02
apparently,apparently.r.01
apparently,obviously.r.01
appeal,attract.v.02
appeal,appeal.v.02
appeal,solicitation.n.02
appeal,appeal.n.02
appealing,sympathetic.a.04
appear,look.v.02
appear,appear.v.04
appearance,appearance.n.06
appearance,appearance.n.03
appearing,appearance.n.03
append,add.v.02
append,append.v.02
appetizer,appetizer.n.01
applaud,applaud.v.01
applause,applause.n.01
appliance,appliance.n.01
application,application.n.03
application,lotion.n.02
apply,use.v.01
apply,apply.v.02
apply,give.v.20
apply,enforce.v.01
appoint,appoint.v.01
appoint,appoint.v.02
appointment,date.n.03
appointment,appointment.n.03
appointment,appointment.n.01
apportionment,allotment.n.02
appraisal,appraisal.n.01
appraisal,appraisal.n.02
appreciate,prize.v.01
appreciation,appreciation.n.01
appreciation,taste.n.03
appreciation,admiration.n.03
apprehension,apprehension.n.01
apprehension,apprehension.n.04
apprehension,understanding.n.01
approach,approach.v.01
approach,approach.n.05
approach,approach.n.02
approach,overture.n.03
approach,access.n.03
approach,approach.n.01
approaching,approaching.s.01
approaching,approach.n.02
approaching,approach.n.05
appropriately,appropriately.r.01
appropriation,annexation.n.01
approval,blessing.n.01
approve,approve.v.01
approving,blessing.n.01
approving,approving.s.01
approximately,approximately.r.01
approximation,estimate.n.01
apricot,yellowish_pink.n.01
apt,apt.s.03
apt,apposite.s.01
apt,apt.s.02
apt,apt.s.01
aquamarine,greenish_blue.n.01
aqueous,aqueous.a.02
arbitrarily,randomly.r.01
arbitrator,arbiter.n.02
arbor,arbor.n.03
arbor,spindle.n.03
arc,discharge.n.05
arc,arch.v.01
arch,arch.v.01
arch,arch.s.03
archaeological,archaeological.a.01
archaeology,archeology.n.01
archeological,archaeological.a.01
archeology,archeology.n.01
archer,archer.n.01
architect,architect.n.01
ardent,ardent.s.02
ardent,ardent.s.01
area,sphere.n.01
area,area.n.06
area,area.n.01
area,area.n.03
arena,stadium.n.01
arena,sphere.n.01
argent,argent.s.01
argue,argue.v.03
argue,argue.v.02
argue,argue.v.01
arguing,controversy.n.01
argument,argumentation.n.02
argument,argument.n.05
argument,argument.n.01
argument,controversy.n.01
argument,argument.n.03
argyle,argyll.n.01
argyll,argyll.n.01
arise,rise.v.01
arise,arise.v.03
arise,originate.v.01
arm,sleeve.n.01
arm,weapon.n.01
arm,arm.n.02
arm,branch.n.01
armament,arming.n.01
armor,armor.n.01
armory,arsenal.n.01
armory,armory.n.01
armour,armor.n.01
arms,weaponry.n.01
aroma,aroma.n.02
aroma,olfactory_property.n.01
arousal,foreplay.n.01
aroused,stimulated.s.01
aroused,aroused.s.04
arrange,stage.v.02
arrange,arrange.v.07
arrange,arrange.v.06
arrange,format.v.01
arrange,dress.v.16
arranged,arranged.a.01
arranged,arranged.s.03
arrangement,arrangement.n.03
arrangement,placement.n.01
arrangement,arrangement.n.06
arrangement,agreement.n.04
arranger,organizer.n.01
arranger,arranger.n.02
arranging,arrangement.n.06
array,align.v.03
array,range.v.05
arrest,catch.v.07
arrest,check.v.18
arrest,collar.v.01
arrest,halt.v.01
arrest,apprehension.n.04
arrest,arrest.n.02
arresting,arresting.s.01
arrival,arrival.n.01
arrival,arrival.n.03
arrive,arrive.v.01
arsenal,arsenal.n.01
art,art.n.03
art,artwork.n.01
articulation,joint.n.01
articulation,articulation.n.03
articulation,articulation.n.02
artificial,artificial.s.02
artificial,artificial.a.01
artillery,artillery.n.01
artillery,weapon.n.02
artisan,craftsman.n.03
artistic,aesthetic.s.03
artistry,art.n.03
artwork,artwork.n.01
ascend,rise.v.16
ascendant,ancestor.n.01
ascendant,ascendant.s.02
ascending,rise.n.02
ascension,rise.n.04
ascension,rise.n.02
ascent,rise.n.02
